sport,name,location,date,guests
Nuoto,"BEBE VIO GRANDIS PARIS, JE TAIME!","{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-13 10:00:00,"['Vittoria Bianco', 'Giuliana Chiara Filippi', 'Alessandro Sbuelz', 'Elisa Spediacci', 'Bebe Vio Grandis']"
Nuoto,"LIBRI DI SPORT: UNA VITA PRESA A BRACCIATE
Libri di sport","{'name': 'Piazza del Duomo', 'address': 'Piazza Del Duomo  - 38122 Trento'}",2024-10-13 17:00:00,['Paolo Chiarino']
Padel,"LIBRI DI SPORT: ALLA SCOPERTA DEL PADEL
Libri di sport","{'name': 'Piazza del Duomo', 'address': 'Piazza Del Duomo  - 38122 Trento'}",2024-10-12 11:00:00,['Gustavo Spector']
Padel,FESTIVAL LEGENDS PADEL CUP,"{'name': 'Piazza Fiera', 'address': 'Piazza di Fiera, 38122 Trento TN'}",2024-10-12 14:00:00,"['Lucas Biglia', 'Cristian Brocchi', 'German Denis', 'Nelson Dida', 'Roberto Donadoni', 'Christian Panucci']"
Padel,BREMBO PADEL EXPERIENCE,"{'name': 'Piazza Fiera', 'address': 'Piazza di Fiera, 38122 Trento TN'}",2024-10-13 10:00:00,"['Nelson Dida', 'Christian Panucci']"
Pugilato,VOLONTARI PER SPORT,"{'name': 'Sala Depero', 'address': 'Piazza Dante 15, 38122 Trento'}",2024-10-11 10:00:00,"['Bruno Cerella', 'Franco Ianeselli', 'Clemente Russo']"
Ritmica,IL VOLO DELLE FARFALLE,"{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-12 10:00:00,"['Martina Centofanti', 'Agnese Duranti', 'Alessia Maurelli', 'Daniela Mogurean', 'Laura Paris', 'Alessia Russo']"
Ritmica,SOFIA RAFFAELI: IL RITMO DI UNA STELLA,"{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-13 19:00:00,['Sofia Raffaeli']
Rugby,"CAPUOZZO, LAMARO, MENONCELLO E QUESADA: SEI NAZIONI E UN SOGNO","{'name': 'Filarmonica', 'address': 'Via Giuseppe Verdi, 30, 38122 Trento TN'}",2024-10-13 17:00:00,"['Ange Capuozzo', 'Michele Lamaro', 'Tommaso Menoncello', 'Gonzalo Quesada']"
Scherma,QUATTRO SPADE E UN FIORETTO,"{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-10 17:00:00,"['Rossella Fiamingo', 'Filippo Macchi', 'Mara Navarria', 'Giulia Rizzi', 'Alberta Santuccio']"
Scherma,"BEBE VIO GRANDIS PARIS, JE TAIME!","{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-13 10:00:00,"['Vittoria Bianco', 'Giuliana Chiara Filippi', 'Alessandro Sbuelz', 'Elisa Spediacci', 'Bebe Vio Grandis']"
Scherma,TOMMASO MARINI: DIETRO LA MASCHERA,"{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-13 16:30:00,['Tommaso Marini']
Sci,GHEDINA E PICCININI: DA PECHINO A TRENTO,"{'name': 'Sala Depero', 'address': 'Piazza Dante 15, 38122 Trento'}",2024-10-11 16:00:00,"['Kristian Ghedina', 'Francesca Piccinini']"
Sci,GROS E THOENI: LA VALANGA SIAMO NOI,"{'name': 'Sala Depero', 'address': 'Piazza Dante 15, 38122 Trento'}",2024-10-11 19:00:00,"['Piero Gros', 'Gustavo Thoeni']"
Sci,TUTTI I CAMPIONI DELLA NEVE,"{'name': 'Piazza del Duomo  e via Verdi', 'address': 'Piazza Del Duomo  - 38122 Trento'}",2024-10-12 11:30:00,"['Marta Bassino', 'Maurizio Bormolini', 'Guglielmo Bosca', 'Federica Brignone', 'Mattia Casse', 'Elena Curtoni', 'Francesco De Fabiani', 'Alba De Silvestro', 'Nicol Delago', 'Simone Deromedis', 'Dominick Fischnaller', 'Tommaso Giacomel', 'Sofia Goggia', 'Aaron March', 'Valentina Margaglio', 'Michela Moioli', 'Marion Oberhofer', 'Dominik Paris', 'Federico Pellegrino', 'Laura Pirovano', 'Florian Schieder', 'Alex Vinatzer', 'Omar Visintin', 'Lisa Vittozzi', 'Andrea Voetter', 'Dorothea Wierer']"
Sci,"BRIGNONE E PASOTTI: CIAK, SI SCIA!","{'name': 'Auditorium Santa Chiara', 'address': 'Via S. Croce, 67 - 38122 Trento'}",2024-10-12 15:30:00,"['Federica Brignone', 'Giorgio Pasotti']"
Sci,"LIBRI DI SPORT: UNA RAGAZZA DI MONTAGNA
Libri di sport","{'name': 'Piazza del Duomo', 'address': 'Piazza Del Duomo  - 38122 Trento'}",2024-10-12 16:45:00,['Deborah Compagnoni']
Sci,MARC GIRARDELLI: IL GIGANTE,"{'name': 'Sala Depero', 'address': 'Piazza Dante 15, 38122 Trento'}",2024-10-12 19:00:00,['Marc Girardelli']
Slacklining,SLACKLINE SOPRA TRENTO,"{'name': 'Piazza del Duomo', 'address': 'Piazza Del Duomo  - 38122 Trento'}",2024-10-13 14:00:00,['Jaan Roose']
Tennis,FENOMENO ITALTENNIS,"{'name': 'Sala Depero', 'address': 'Piazza Dante 15, 38122 Trento'}",2024-10-10 12:00:00,"['Sara Errani', 'Tathiana Garbin', 'Lorenzo Musetti', 'Jasmine Paolini', 'Filippo Volandri']"
Tennis,IVAN LJIUBICIC: IL MAESTRO,"{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-13 10:30:00,['Ivan Ljubicic']
Tiro a volo,"BACOSI, ROSSETTI, MONNA E NILO MALDINI: COLPO VINCENTE","{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-10 12:00:00,"['Diana Bacosi', 'Paolo Monna', 'Federico Nilo Maldini', 'Gabriele Rossetti']"
Vela,BECCARIA E MURA: I NOSTRI OCEANI,"{'name': 'Palazzo della Regione', 'address': 'https://www.regione.taa.it/'}",2024-10-11 10:30:00,"['Ambrogio Beccaria', 'Andrea Mura']"
Vela,"LIBRI DI SPORT: OLTRE I LIMITI. DIECI ANNI IN OCEANO CON MASERATI
Libri di sport","{'name': 'Piazza del Duomo', 'address': 'Piazza Del Duomo  - 38122 Trento'}",2024-10-11 14:00:00,['Giovanni Soldini']
Volley,MAURIZIA CACCIATORI: LE PI FORTI SIAMO NOI,"{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-10 10:00:00,"['Maurizia Cacciatori', 'Alessandra Campedelli']"
Volley,PROSECCO DOC IMOCO CONEGLIANO LA SQUADRA DEI SOGNI,"{'name': 'Auditorium Santa Chiara', 'address': 'Via S. Croce, 67 - 38122 Trento'}",2024-10-10 11:30:00,"['Monica De Gennaro', 'Sarah Fahr', 'Piero Gaberlotto', 'Gabi Guimares', 'Isabelle Haak', 'Marina Lubian', 'Daniele Santarelli']"
Volley,GHEDINA E PICCININI: DA PECHINO A TRENTO,"{'name': 'Sala Depero', 'address': 'Piazza Dante 15, 38122 Trento'}",2024-10-11 16:00:00,"['Kristian Ghedina', 'Francesca Piccinini']"
Volley,ALESSANDRO MICHIELETTO MEET&GREET,"{'name': 'Piazza Fiera', 'address': 'Piazza di Fiera, 38122 Trento TN'}",2024-10-12 11:30:00,['Alessandro Michieletto']
Volley,"JULIO VELASCO: IL MIO GIOCO, IL MIO MONDO","{'name': 'Teatro Sociale', 'address': 'Via Paolo Oss-Mazzurana, 19, 38122 Trento TN'}",2024-10-12 17:00:00,['Julio Velasco']
Volley,SIR SUSA VIM PERUGIA: I BLOCKDEVILS,"{'name': 'Auditorium Santa Chiara', 'address': 'Via S. Croce, 67 - 38122 Trento'}",2024-10-13 10:00:00,"['Max Colaci', 'Simone Giannelli', 'Yuki Ishikawa', 'Angelo Lorenzetti', 'Oleh Plotnytsky', 'Roberto Russo', 'Gino Sirci']"
Windsurf,MAGGETTI E SENSINI: VIA COL VENTO,"{'name': 'Sala Depero', 'address': 'Piazza Dante 15, 38122 Trento'}",2024-10-13 17:30:00,"['Marta Maggetti', 'Alessandra Sensini']"
